"","mpg","milage","maketype","car_id","region","year","price","link","make","type","dealer","sold","scrapedate"
"240","20.4",182000,"Ford B-MAX 1,0 SCTi 100 Trend 5d","5503680","Nordsjælland",2013,84500,"https://bilbasen.dk/brugt/bil/ford/b-max/10-scti-100-trend-5d/5503680","Ford","B-MAX","08ddcde3-217d-4ccb-96fb-8a0a95cea283",0,"2022-11-08 22:29:38.772658"
"241","22.0",4000,"Ford Focus 1,0 EcoBoost Connected stc. 5d","5541275","Østjylland",2022,269900,"https://bilbasen.dk/brugt/bil/ford/focus/10-ecoboost-connected-stc-5d/5541275","Ford","Focus","f1a74b93-70b6-4ae1-b818-6a48b7770cd7",0,"2022-11-08 22:29:38.772658"
"242","22.0",4000,"Ford Focus 1,0 EcoBoost Connected stc. 5d","5541273","Østjylland",2022,269900,"https://bilbasen.dk/brugt/bil/ford/focus/10-ecoboost-connected-stc-5d/5541273","Ford","Focus","f1a74b93-70b6-4ae1-b818-6a48b7770cd7",0,"2022-11-08 22:29:38.772658"
"243","22.0",4000,"Ford Focus 1,0 EcoBoost Connected stc. 5d","5541272","Østjylland",2022,269900,"https://bilbasen.dk/brugt/bil/ford/focus/10-ecoboost-connected-stc-5d/5541272","Ford","Focus","f1a74b93-70b6-4ae1-b818-6a48b7770cd7",0,"2022-11-08 22:29:38.772658"
"244","22.2",185000,"Toyota Aygo 1,0 Air 5d","5571230","Syd- og Sønderjylland",2011,27600,"https://bilbasen.dk/brugt/bil/toyota/aygo/10-air-5d/5571230","Toyota","Aygo",NA,0,"2022-11-08 22:29:38.772658"
"245","20.4",161000,"Ford Ka 1,2 Titanium 3d","5571216","Syd- og Sønderjylland",2013,42900,"https://bilbasen.dk/brugt/bil/ford/ka/12-titanium-3d/5571216","Ford","Ka","5f9b2b12-4f58-437e-a0fc-5125ec5095c0",0,"2022-11-08 22:29:38.772658"
"246","15.2",260000,"Toyota Avensis 1,8 VVT-i T3 4d","5541228","Fyn",2011,64900,"https://bilbasen.dk/brugt/bil/toyota/avensis/18-vvt-i-t3-4d/5541228","Toyota","Avensis",NA,0,"2022-11-08 22:29:38.772658"
"247","16.9",55000,"Ford Ka 1,3 70 3d","5526759","Syd- og Sønderjylland",2006,24800,"https://bilbasen.dk/brugt/bil/ford/ka/13-70-3d/5526759","Ford","Ka","5f9b2b12-4f58-437e-a0fc-5125ec5095c0",0,"2022-11-08 22:29:38.772658"
"248","10.5",194000,"Volvo V70 2,5 T Momentum 5d","5440573","Syd- og Vestsjælland",2007,79900,"https://bilbasen.dk/brugt/bil/volvo/v70/25-t-momentum-5d/5440573","Volvo","V70","aee97a59-9441-4df6-b55d-8742ddaafc05",0,"2022-11-08 22:29:38.772658"
"249","16.1",99500,"Ford Kuga 1,5 SCTi 150 ST-Line 5d","5585966","Østjylland",2018,249900,"https://bilbasen.dk/brugt/bil/ford/kuga/15-scti-150-st-line-5d/5585966","Ford","Kuga","3d7b59d3-f5c1-4e53-8936-d21e5add642a",0,"2022-11-08 22:29:38.772658"
